2021 2013-12-09 17:55:17 2013-12-09 18:00:27 +0000 0000049c 001 001f 0001 09 eCommunicationsObjMgr_ptg 64993 5716 1552 d:\sea752pd\siebsrvr\log\eCommunicationsObjMgr_ptg_64993.log 7.5.3.15 [16279] PTG
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17	The Parameters for the current task are :
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Enterprise                                    : SiebelPD
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Server                                        : SVLSBCPFE21
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Siebel Home                                   : D:\sea752pd\siebsrvr
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Log Directory                                 : D:\sea752pd\siebsrvr\log
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Enable Business Service Argument Tracing      : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		HTTP Accept Header Value                      : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		HTTP Allow Caching                            : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		HTTP Allow Persistent Cookies                 : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		HTTP Content Type Header Value                : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Implicit Character Set Detection              : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Is Using Secure HTTP Connection               : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		HTTP Login Body Template                      : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		HTTP Login Method                             : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		HTTP Login URL Template                       : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		HTTP Logoff Method                            : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		HTTP Logoff URL Template                      : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		HTTP Maximum Idle Seconds                     : 1200
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		HTTP No Auto Redirect                         : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		HTTP Request Body Template                    : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		HTTP Request Method                           : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		HTTP Request URL Template                     : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		HTTP Sleep Time                               : 120000
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		HTTP User Agent Header Value                  : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		CDA Auto Deployment                           : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		CDA Deployment Mode                           : ONDEMAND
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		CDA GetMyPrice Fields                         : List Price,Product Name,Current Price, Pricing Comments
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		CDA Header Bus Comp Name                      : Quote
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		CDA Header Bus Obj Name                       : Quote
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		CDA Header View Name                          : Quote Detail View
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		CDA Integration Obj Name                      : Quote
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		CDA Line Item Attribute Bus Comp Name         : Quote Item XA
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		CDA Line Item Bus Comp Name                   : Quote Item
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		CDA Product Detail Bus Comp Name              : Internal Product
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		CDA Product Detail Bus Obj Name               : Internal Product
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		CDA Product Detail View Name                  : Product Detail Key Features View
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		CDA Server-Side Configurator View Name        : Complex Product Runtime Instance View
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Actuate Server Connect String                 : CHANGE_ME
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Actuate Server Enable Flag                    : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Actuate Server Network Protocol Name          : HTTP
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Actuate Server Poll Wait Limit                : 30
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Actuate Request Status Poll Interval          : 10,0,0,10
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Actuate Server Rox Directory                  : /Siebel Reports/
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Actuate Report Cast Domain                    : CHANGE_ME
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Actuate Server Report Cast Host               : CHANGE_ME
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Actuate Server Report Cast Language           : PTG
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Actuate Server Report Server Host             : CHANGE_ME
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Maximum Number of Items in a WorkQ            : -1
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Maximum Number of WorkQ Threads               : 0
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Minimum Number of WorkQ Threads               : 0
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Enable Flag for Audit Trail                   : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Audit Trail Source                            : FILE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		CCA Debug                                     : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Enable CCA                                    : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		CCA Merchant ID                               : esalestest
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		CCA Server Host                               : ics2test.ic3.com
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		CCA Type                                      : CyberSourceICS2
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Communication Configuration Cache             : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Communication Configuration Manager           : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Communication Configuration Manager Name      : CommConfigMgr
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Log Debug Message                             : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Enable Communication                          : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Local Communication Driver                    : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Maximum Log Size (KB)                         : 10000024
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Maximum Message Queue                         : 64
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Release Log Handle                            : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Request Timeout                               : 600
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Simulate Communication                        : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Log File                                      : SComm.log
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Siebel File System                            : \\TVCSBLFS\SiebelFSPD
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Language Code                                 : PTG
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		SRB RequestId                                 : 0
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Sleep Time                                    : 60
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Data Cleansing Enable Flag                    : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Data Cleansing Type                           : Vendor1
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		16K Tablespace Name                           : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		32K Tablespace Name                           : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		ODBC Data Source                              : SiebSrvr_SiebelPD
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Disable Autocommit                            : Y
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Disable DB2 CLI MinMemMode                    : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		DataBase Rollback Segment Name                : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Indexspace Name                               : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Long Tablespace Name                          : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Table Groupings File                          : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Tablespace Name                               : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		SQL Trace Threshold                           : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		User Name                                     : SADMIN
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Siebel Repository                             : Siebel Repository
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Table Owner                                   : Siebel
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		DeDuplication Enable Flag                     : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		DeDuplication Data Type                       : CHANGE_ME
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Email Temporary Attachment Location           : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Email Client Debug Level                      : 0
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Default Email Client                          : Siebel Mail Client
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Siebel/Lotus Form                             : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Siebel/Outlook Form                           : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Error Flags                                   : 0
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Log Print Timestamp                           : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		SQL Trace Flags                               : 0
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Trace Flags                                   : 0
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Use Shared Log File                           : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Log Archive Keep                              : 10
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Number of Sessions per SISNAPI Connection     : 20
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Use Batch Registeration Mode                  : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Concurrent Registrations                      : 4
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Resonate CDAction execute timeout (in seconds) : 600
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Load Balanced                                 : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Maximum MT Servers                            : 5
